# Only Scattering events that has return times
# All data corresponds to the unified Phase=Time*angfreq. KE is unit of Up. A and P are unit of A0 and all are at the polarization axis. dt=0.01au
# BornPhase	ReturnPhaser	KE_scatter	KE_backscatter	A_birth	A_scatter	P_scatter	P_backscatter
1.570872517309876537e+00 7.823114105392606987e+00 1.914420862107664130e-03 7.638837102905323903e-03 -7.619051490620359934e-05 3.086262702962564927e-02 -3.093881754453185404e-02 6.180144457415750331e-02
1.571024395151635167e+00 7.800668461030170420e+00 5.727922285537339307e-03 2.281415074288793698e-02 -2.280683547613783133e-04 5.328792124431704080e-02 -5.351598959907841874e-02 1.068039108433954665e-01
1.571176272993393797e+00 7.785250046924748979e+00 9.537857551088827629e-03 3.794181406054480954e-02 -3.799461893557279672e-04 6.867748480503048369e-02 -6.905743099438621524e-02 1.377349157994166851e-01
1.571328150835152648e+00 7.772741176245007821e+00 1.334420751902092896e-02 5.302986812873529410e-02 -5.318240151861269556e-04 8.115112254962912608e-02 -8.168294656481525640e-02 1.628340691144443686e-01
1.571480028676911278e+00 7.761941956453776825e+00 1.714710695086243269e-02 6.808291201930873060e-02 -6.837018287487837834e-04 9.190978323057499844e-02 -9.259348505932378515e-02 1.845032682898987697e-01
1.571631906518669908e+00 7.752303193348358157e+00 2.094650511456757833e-02 8.310331837743670236e-02 -8.355796265405734686e-04 1.015033306533905388e-01 -1.023389102799311112e-01 2.038422409333216501e-01
1.571783784360428760e+00 7.743518866471544193e+00 2.474232026772128779e-02 9.809258595164677130e-02 -9.874574050583711377e-04 1.102382596475218884e-01 -1.112257170525802613e-01 2.214639767001021498e-01
1.571935662202187167e+00 7.735397208273980141e+00 2.853470749049967156e-02 1.130527136497193330e-01 -1.139335160798164714e-03 1.183066934263835718e-01 -1.194460285871817296e-01 2.377527220135653152e-01
1.572087540043946019e+00 7.727809268224331340e+00 3.232360540006608274e-02 1.279845504185807281e-01 -1.291212890257496110e-03 1.258378660021542139e-01 -1.271290788924117066e-01 2.529669448945659482e-01
1.572239417885704427e+00 7.720663004040534183e+00 3.610905678580238892e-02 1.428891605179853364e-01 -1.443090589932132179e-03 1.329240497119333064e-01 -1.343671403018654453e-01 2.672911900137987518e-01
1.572391295727463278e+00 7.713890201338409192e+00 3.989104642659466876e-02 1.577672322227882395e-01 -1.594968256319616784e-03 1.396336521196414882e-01 -1.412286203759610947e-01 2.808622724956025829e-01
1.572543173569221908e+00 7.707438457573415391e+00 4.366963181535484656e-02 1.726196335797492432e-01 -1.746845885915939908e-03 1.460192392205029166e-01 -1.477660851064188652e-01 2.937853243269217818e-01
1.572695051410980538e+00 7.701266799113849260e+00 4.744472257079985350e-02 1.874465595617887115e-01 -1.898723475217980799e-03 1.521219286640322632e-01 -1.540206521392502304e-01 3.061425808032824936e-01
1.572846929252739168e+00 7.695342018723451361e+00 5.121641839653455486e-02 2.022488933976801240e-01 -2.050601020722397309e-03 1.579750506675843547e-01 -1.600256516883067637e-01 3.180007023558911183e-01
1.572998807094498019e+00 7.689637129595022103e+00 5.498470600933003799e-02 2.170270141989782131e-01 -2.202478518926070852e-03 1.636057028373176792e-01 -1.658081813562437556e-01 3.294138841935614348e-01
1.573150684936256427e+00 7.684129716490393669e+00 5.874958200939112141e-02 2.317812952429574302e-01 -2.354355966324995098e-03 1.690363993406505394e-01 -1.713907553069755341e-01 3.404271546476260735e-01
1.573302562778015279e+00 7.678800905409808308e+00 6.251106036479704697e-02 2.465121410626448240e-01 -2.506233359416719982e-03 1.742861029631697367e-01 -1.767923363225864519e-01 3.510784392857562164e-01
1.573454440619773909e+00 7.673634649437127031e+00 6.626915146017202385e-02 2.612199099891335807e-01 -2.658110694697241559e-03 1.793709411901214523e-01 -1.820290518848186878e-01 3.613999930749401401e-01
1.573606318461532538e+00 7.668617179331280731e+00 7.002385555745639645e-02 2.759048928379799204e-01 -2.809987968663446231e-03 1.843047569840745858e-01 -1.871147449527380269e-01 3.714195019368126127e-01
