Configuration	Term	J	Prefix	Level (eV)	Suffix	Uncertainty (eV)	Lande	Reference
"5p6"	"1S"	"0"	""	"0.0000000"	""	""	""	"L9794"
"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"2"	""	"8.3153161"	""	""	"1.50095"	"L763"
"5p5.(2P*<3/2>).6s"	"2[3/2]*"	"1"	""	"8.4365241"	""	""	"1.2055"	"L763"
"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"0"	""	"9.4471951"	""	""	""	"L9794"
"5p5.(2P*<1/2>).6s"	"2[1/2]*"	"1"	""	"9.5697254"	""	""	"1.321"	"L763"
"5p5.(2P*<3/2>).6p"	"2[1/2]"	"1"	""	"9.5801530"	""	""	"1.852"	"L763"
"5p5.(2P*<3/2>).6p"	"2[1/2]"	"0"	""	"9.9334853"	""	""	""	"L763"
"5p5.(2P*<3/2>).6p"	"2[5/2]"	"2"	""	"9.6856205"	""	""	"1.11103"	"L763"
"5p5.(2P*<3/2>).6p"	"2[5/2]"	"3"	""	"9.7207407"	""	""	"1.336"	"L763"
"5p5.(2P*<3/2>).6p"	"2[3/2]"	"1"	""	"9.7893002"	""	""	"1.02348"	"L763"
"5p5.(2P*<3/2>).6p"	"2[3/2]"	"2"	""	"9.8210940"	""	""	"1.3836"	"L763"
"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"0"	""	"9.8903766"	""	""	""	"L763"
"5p5.(2P*<3/2>).5d"	"2[1/2]*"	"1"	""	"9.9170767"	""	""	"1.395"	"L763"
"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"4"	""	"9.9431148"	""	""	"1.2506"	"L763"
"5p5.(2P*<3/2>).5d"	"2[7/2]*"	"3"	""	"10.0390549"	""	""	"1.0749"	"L763"
"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"2"	""	"9.9587513"	""	""	"1.3750"	"L763"
"5p5.(2P*<3/2>).5d"	"2[3/2]*"	"1"	""	"10.4010308"	""	""	""	"L763"
"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"2"	""	"10.1574692"	""	""	""	"L763"
"5p5.(2P*<3/2>).5d"	"2[5/2]*"	"3"	""	"10.2200428"	""	""	""	"L763"
"5p5.(2P*<3/2>).7s"	"2[3/2]*"	"2"	""	"10.5620622"	""	""	""	"L763"
"5p5.(2P*<3/2>).7s"	"2[3/2]*"	"1"	""	"10.5932120"	""	""	""	"L763"
"5p5.(2P*<3/2>).7p"	"2[1/2]"	"1"	""	"10.9015749"	""	""	"1.7272"	"L763"
"5p5.(2P*<3/2>).7p"	"2[1/2]"	"0"	""	"11.0150359"	""	""	""	"L763"
"5p5.(2P*<3/2>).7p"	"2[5/2]"	"2"	""	"10.9542123"	""	""	"1.1276"	"L763"
"5p5.(2P*<3/2>).7p"	"2[5/2]"	"3"	""	"10.9687845"	""	""	"1.330"	"L763"
"5p5.(2P*<1/2>).6p"	"2[3/2]"	"1"	""	"10.9576151"	""	""	"0.7925"	"L763"
"5p5.(2P*<1/2>).6p"	"2[3/2]"	"2"	""	"11.0547232"	""	""	"1.190"	"L763"
"5p5.(2P*<3/2>).6d"	"2[1/2]*"	"0"	""	"10.9714882"	""	""	""	"L763"
"5p5.(2P*<3/2>).6d"	"2[1/2]*"	"1"	""	"10.9787729"	""	""	""	"L763"
"5p5.(2P*<3/2>).7p"	"2[3/2]"	"2"	""	"10.9957246"	""	""	"1.3520"	"L763"
"5p5.(2P*<3/2>).7p"	"2[3/2]"	"1"	""	"11.0029230"	""	""	"0.9039"	"L763"
"5p5.(2P*<3/2>).6d"	"2[3/2]*"	"2"	""	"10.9984481"	""	""	""	"L763"
"5p5.(2P*<3/2>).6d"	"2[3/2]*"	"1"	""	"11.1625646"	""	""	""	"L763"
"5p5.(2P*<3/2>).6d"	"2[7/2]*"	"4"	""	"11.0236449"	""	""	""	"L763"
"5p5.(2P*<3/2>).6d"	"2[7/2]*"	"3"	""	"11.0376796"	""	""	""	"L763"
"5p5.(2P*<3/2>).6d"	"2[5/2]*"	"2"	""	"11.0647538"	""	""	""	"L763"
"5p5.(2P*<3/2>).6d"	"2[5/2]*"	"3"	""	"11.1008716"	""	""	""	"L763"
"5p5.(2P*<1/2>).6p"	"2[1/2]"	"1"	""	"11.0691488"	""	""	"1.551"	"L763"
"5p5.(2P*<1/2>).6p"	"2[1/2]"	"0"	""	"11.1412219"	""	""	""	"L763"
"5p5.(2P*<3/2>).8s"	"2[3/2]*"	"2"	""	"11.2583279"	""	""	"1.465"	"L763"
"5p5.(2P*<3/2>).8s"	"2[3/2]*"	"1"	""	"11.2741847"	""	""	"1.182"	"L763"
"5p5.(2P*<3/2>).4f"	"2[3/2]"	"1"	""	"11.2626969"	""	""	"0.4997"	"L763"
"5p5.(2P*<3/2>).4f"	"2[3/2]"	"2"	""	"11.2638950"	""	""	"1.11"	"L763"
"5p5.(2P*<3/2>).4f"	"2[9/2]"	"5"	""	"11.2652855"	""	""	""	"L763"
"5p5.(2P*<3/2>).4f"	"2[9/2]"	"4"	""	"11.2653910"	""	""	""	"L763"
"5p5.(2P*<3/2>).4f"	"2[5/2]"	"3"	""	"11.2710427"	""	""	"1.18"	"L763"
"5p5.(2P*<3/2>).4f"	"2[5/2]"	"2"	""	"11.2714099"	""	""	"0.86"	"L763"
"5p5.(2P*<3/2>).4f"	"2[7/2]"	"3"	""	"11.2756251"	""	""	""	"L763"
"5p5.(2P*<3/2>).4f"	"2[7/2]"	"4"	""	"11.2756354"	""	""	""	"L763"
"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"2"	""	"11.3014907"	""	""	""	"L763"
"5p5.(2P*<1/2>).5d"	"2[5/2]*"	"3"	""	"11.3751242"	""	""	"1.126"	"L763"
"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"2"	""	"11.3380418"	""	""	"1.274"	"L763"
"5p5.(2P*<1/2>).5d"	"2[3/2]*"	"1"	""	"11.607182"	""	""	""	"L3466"
"5p5.(2P*<3/2>).7d"	"2[1/2]*"	"1"	""	"11.4224518"	""	""	"1.273"	"L763"
"5p5.(2P*<3/2>).7d"	"2[1/2]*"	"0"	""	"11.4387736"	""	""	""	"L763"
"5p5.(2P*<3/2>).8p"	"2[1/2]"	"1"	""	"11.4255504"	""	""	"1.801"	"L763"
"5p5.(2P*<3/2>).8p"	"2[1/2]"	"0"	""	"11.4753742"	""	""	""	"L763"
"5p5.(2P*<3/2>).8p"	"2[5/2]"	"2"	""	"11.4339916"	""	""	"1.103"	"L763"
"5p5.(2P*<3/2>).8p"	"2[5/2]"	"3"	""	"11.4393959"	""	""	"1.329"	"L763"
"5p5.(2P*<3/2>).8p"	"2[3/2]"	"1"	""	"11.4478412"	""	""	"1.036"	"L763"
"5p5.(2P*<3/2>).8p"	"2[3/2]"	"2"	""	"11.4525348"	""	""	"1.383"	"L763"
"5p5.(2P*<3/2>).7d"	"2[7/2]*"	"4"	""	"11.4617102"	""	""	"1.217"	"L763"
"5p5.(2P*<3/2>).7d"	"2[7/2]*"	"3"	""	"11.4866555"	""	""	"1.026"	"L763"
